Index,factionsInGame,Factions.1,Factions.2,Factions.3,Factions.4,Factions.5,Factions.6,Factions.7,Factions.8
16545,"Naaz-Rokha Alliance, Emirates of Hacan, Titans of Ul, Barony of Letnev, Federation of Sol, Sardakk N'orr","Naaz-Rokha Alliance"," Emirates of Hacan"," Titans of Ul"," Barony of Letnev"," Federation of Sol"," Sardakk N'orr","",""
16805,"Titans of Ul, Emirates of Hacan, Mahact Gene-Sorcerers, Nekro Virus, Vuil'raith Cabal, Sardakk N'orr","Titans of Ul"," Emirates of Hacan"," Mahact Gene-Sorcerers"," Nekro Virus"," Vuil'raith Cabal"," Sardakk N'orr","",""
16861,"Mahact Gene-Sorcerers, Naalu Collective, Arborec, Argent Flight, Clan of Saar, Sardakk N'orr","Mahact Gene-Sorcerers"," Naalu Collective"," Arborec"," Argent Flight"," Clan of Saar"," Sardakk N'orr","",""
16866,"Barony of Letnev, Nekro Virus, Clan of Saar, Yssaril Tribes, Embers of Muaat, Sardakk N'orr","Barony of Letnev"," Nekro Virus"," Clan of Saar"," Yssaril Tribes"," Embers of Muaat"," Sardakk N'orr","",""
16881,"Naalu Collective, Universities of Jol-Nar, Ghosts of Creuss, Yin Brotherhood, Empyrean, Sardakk N'orr","Naalu Collective"," Universities of Jol-Nar"," Ghosts of Creuss"," Yin Brotherhood"," Empyrean"," Sardakk N'orr","",""
16894,"Vuil'raith Cabal, Xxcha Kingdom, Yssaril Tribes, Federation of Sol, Winnu, Sardakk N'orr","Vuil'raith Cabal"," Xxcha Kingdom"," Yssaril Tribes"," Federation of Sol"," Winnu"," Sardakk N'orr","",""
16921,"Vuil'raith Cabal, Yin Brotherhood, Emirates of Hacan, Universities of Jol-Nar, Argent Flight, Sardakk N'orr","Vuil'raith Cabal"," Yin Brotherhood"," Emirates of Hacan"," Universities of Jol-Nar"," Argent Flight"," Sardakk N'orr","",""
16955,"Vuil'raith Cabal, Clan of Saar, Mentak Coalition, Nomad, Yssaril Tribes, Sardakk N'orr","Vuil'raith Cabal"," Clan of Saar"," Mentak Coalition"," Nomad"," Yssaril Tribes"," Sardakk N'orr","",""
16956,"Titans of Ul, Winnu, Yssaril Tribes, Barony of Letnev, Universities of Jol-Nar, Sardakk N'orr","Titans of Ul"," Winnu"," Yssaril Tribes"," Barony of Letnev"," Universities of Jol-Nar"," Sardakk N'orr","",""
16959,"Ghosts of Creuss, Universities of Jol-Nar, Clan of Saar, Argent Flight, Nekro Virus, Sardakk N'orr","Ghosts of Creuss"," Universities of Jol-Nar"," Clan of Saar"," Argent Flight"," Nekro Virus"," Sardakk N'orr","",""
16977,"Mahact Gene-Sorcerers, L1Z1X Mindnet, Naaz-Rokha Alliance, Emirates of Hacan, Clan of Saar, Sardakk N'orr","Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Naaz-Rokha Alliance"," Emirates of Hacan"," Clan of Saar"," Sardakk N'orr","",""
17027,"Barony of Letnev, Naaz-Rokha Alliance, Xxcha Kingdom, Federation of Sol, Nomad, Sardakk N'orr","Barony of Letnev"," Naaz-Rokha Alliance"," Xxcha Kingdom"," Federation of Sol"," Nomad"," Sardakk N'orr","",""
17116,"Mahact Gene-Sorcerers, Yin Brotherhood, Mentak Coalition, Xxcha Kingdom, Empyrean, Sardakk N'orr","Mahact Gene-Sorcerers"," Yin Brotherhood"," Mentak Coalition"," Xxcha Kingdom"," Empyrean"," Sardakk N'orr","",""
17122,"Barony of Letnev, Universities of Jol-Nar, Naaz-Rokha Alliance, Embers of Muaat, Nomad, Sardakk N'orr","Barony of Letnev"," Universities of Jol-Nar"," Naaz-Rokha Alliance"," Embers of Muaat"," Nomad"," Sardakk N'orr","",""
17123,"Winnu, Mahact Gene-Sorcerers, Yssaril Tribes, Naaz-Rokha Alliance, Titans of Ul, Sardakk N'orr","Winnu"," Mahact Gene-Sorcerers"," Yssaril Tribes"," Naaz-Rokha Alliance"," Titans of Ul"," Sardakk N'orr","",""
17202,"L1Z1X Mindnet, Arborec, Emirates of Hacan, Empyrean, Yin Brotherhood, Sardakk N'orr","L1Z1X Mindnet"," Arborec"," Emirates of Hacan"," Empyrean"," Yin Brotherhood"," Sardakk N'orr","",""
17210,"Federation of Sol, Yssaril Tribes, Embers of Muaat, Nomad, Mahact Gene-Sorcerers, Sardakk N'orr","Federation of Sol"," Yssaril Tribes"," Embers of Muaat"," Nomad"," Mahact Gene-Sorcerers"," Sardakk N'orr","",""
17215,"Universities of Jol-Nar, Nomad, Mahact Gene-Sorcerers, Ghosts of Creuss, Arborec, Sardakk N'orr","Universities of Jol-Nar"," Nomad"," Mahact Gene-Sorcerers"," Ghosts of Creuss"," Arborec"," Sardakk N'orr","",""
17236,"Titans of Ul, Mentak Coalition, Ghosts of Creuss, Embers of Muaat, Universities of Jol-Nar, Sardakk N'orr","Titans of Ul"," Mentak Coalition"," Ghosts of Creuss"," Embers of Muaat"," Universities of Jol-Nar"," Sardakk N'orr","",""
17277,"Winnu, Yssaril Tribes, Vuil'raith Cabal, Titans of Ul, Barony of Letnev, Sardakk N'orr","Winnu"," Yssaril Tribes"," Vuil'raith Cabal"," Titans of Ul"," Barony of Letnev"," Sardakk N'orr","",""
17291,"Titans of Ul, Yssaril Tribes, L1Z1X Mindnet, Embers of Muaat, Vuil'raith Cabal, Sardakk N'orr","Titans of Ul"," Yssaril Tribes"," L1Z1X Mindnet"," Embers of Muaat"," Vuil'raith Cabal"," Sardakk N'orr","",""
17408,"Mentak Coalition, Emirates of Hacan, Naaz-Rokha Alliance, Universities of Jol-Nar, Winnu, Sardakk N'orr","Mentak Coalition"," Emirates of Hacan"," Naaz-Rokha Alliance"," Universities of Jol-Nar"," Winnu"," Sardakk N'orr","",""
17488,"Embers of Muaat, Argent Flight, Clan of Saar, Yin Brotherhood, Titans of Ul, Sardakk N'orr","Embers of Muaat"," Argent Flight"," Clan of Saar"," Yin Brotherhood"," Titans of Ul"," Sardakk N'orr","",""
17537,"Universities of Jol-Nar, Empyrean, Naalu Collective, Nekro Virus, L1Z1X Mindnet, Sardakk N'orr","Universities of Jol-Nar"," Empyrean"," Naalu Collective"," Nekro Virus"," L1Z1X Mindnet"," Sardakk N'orr","",""
17539,"Xxcha Kingdom, Argent Flight, Naaz-Rokha Alliance, Empyrean, Vuil'raith Cabal, Sardakk N'orr","Xxcha Kingdom"," Argent Flight"," Naaz-Rokha Alliance"," Empyrean"," Vuil'raith Cabal"," Sardakk N'orr","",""
17569,"Arborec, Clan of Saar, Argent Flight, Barony of Letnev, Ghosts of Creuss, Sardakk N'orr","Arborec"," Clan of Saar"," Argent Flight"," Barony of Letnev"," Ghosts of Creuss"," Sardakk N'orr","",""
17589,"Embers of Muaat, Barony of Letnev, Xxcha Kingdom, Naaz-Rokha Alliance, Yssaril Tribes, Sardakk N'orr","Embers of Muaat"," Barony of Letnev"," Xxcha Kingdom"," Naaz-Rokha Alliance"," Yssaril Tribes"," Sardakk N'orr","",""
17614,"Empyrean, Argent Flight, Ghosts of Creuss, Yssaril Tribes, Nomad, Sardakk N'orr","Empyrean"," Argent Flight"," Ghosts of Creuss"," Yssaril Tribes"," Nomad"," Sardakk N'orr","",""
17636,"Naaz-Rokha Alliance, Vuil'raith Cabal, L1Z1X Mindnet, Titans of Ul, Nomad, Sardakk N'orr","Naaz-Rokha Alliance"," Vuil'raith Cabal"," L1Z1X Mindnet"," Titans of Ul"," Nomad"," Sardakk N'orr","",""
17653,"Nekro Virus, Argent Flight, Federation of Sol, Empyrean, L1Z1X Mindnet, Sardakk N'orr","Nekro Virus"," Argent Flight"," Federation of Sol"," Empyrean"," L1Z1X Mindnet"," Sardakk N'orr","",""
17681,"Yssaril Tribes, Mentak Coalition, Clan of Saar, Universities of Jol-Nar, Titans of Ul, Sardakk N'orr","Yssaril Tribes"," Mentak Coalition"," Clan of Saar"," Universities of Jol-Nar"," Titans of Ul"," Sardakk N'orr","",""
17707,"Nomad, Barony of Letnev, Universities of Jol-Nar, Argent Flight, Clan of Saar, Sardakk N'orr","Nomad"," Barony of Letnev"," Universities of Jol-Nar"," Argent Flight"," Clan of Saar"," Sardakk N'orr","",""
17719,"Ghosts of Creuss, Titans of Ul, Embers of Muaat, L1Z1X Mindnet, Nomad, Sardakk N'orr","Ghosts of Creuss"," Titans of Ul"," Embers of Muaat"," L1Z1X Mindnet"," Nomad"," Sardakk N'orr","",""
17795,"Nekro Virus, Argent Flight, Naalu Collective, Xxcha Kingdom, Mahact Gene-Sorcerers, Sardakk N'orr","Nekro Virus"," Argent Flight"," Naalu Collective"," Xxcha Kingdom"," Mahact Gene-Sorcerers"," Sardakk N'orr","",""
17800,"Naalu Collective, Barony of Letnev, Titans of Ul, Vuil'raith Cabal, Empyrean, Sardakk N'orr","Naalu Collective"," Barony of Letnev"," Titans of Ul"," Vuil'raith Cabal"," Empyrean"," Sardakk N'orr","",""
17905,"Arborec, Federation of Sol, Empyrean, Nomad, L1Z1X Mindnet, Sardakk N'orr","Arborec"," Federation of Sol"," Empyrean"," Nomad"," L1Z1X Mindnet"," Sardakk N'orr","",""
17939,"Barony of Letnev, Universities of Jol-Nar, Yin Brotherhood, Titans of Ul, Nekro Virus, Sardakk N'orr","Barony of Letnev"," Universities of Jol-Nar"," Yin Brotherhood"," Titans of Ul"," Nekro Virus"," Sardakk N'orr","",""
17953,"Barony of Letnev, Federation of Sol, Ghosts of Creuss, Emirates of Hacan, Argent Flight, Sardakk N'orr","Barony of Letnev"," Federation of Sol"," Ghosts of Creuss"," Emirates of Hacan"," Argent Flight"," Sardakk N'orr","",""
18008,"Yin Brotherhood, Winnu, Nomad, Embers of Muaat, Ghosts of Creuss, Sardakk N'orr","Yin Brotherhood"," Winnu"," Nomad"," Embers of Muaat"," Ghosts of Creuss"," Sardakk N'orr","",""
18018,"Winnu, Nomad, Arborec, L1Z1X Mindnet, Yin Brotherhood, Sardakk N'orr","Winnu"," Nomad"," Arborec"," L1Z1X Mindnet"," Yin Brotherhood"," Sardakk N'orr","",""
18045,"Ghosts of Creuss, Nomad, Mentak Coalition, Embers of Muaat, Barony of Letnev, Sardakk N'orr","Ghosts of Creuss"," Nomad"," Mentak Coalition"," Embers of Muaat"," Barony of Letnev"," Sardakk N'orr","",""
18056,"Titans of Ul, L1Z1X Mindnet, Clan of Saar, Mahact Gene-Sorcerers, Embers of Muaat, Sardakk N'orr","Titans of Ul"," L1Z1X Mindnet"," Clan of Saar"," Mahact Gene-Sorcerers"," Embers of Muaat"," Sardakk N'orr","",""
18,"Arborec, Naalu Collective, Embers of Muaat, Deepwrought Scholarate, Mentak Coalition, Barony of Letnev","Arborec"," Naalu Collective"," Embers of Muaat"," Deepwrought Scholarate"," Mentak Coalition"," Barony of Letnev","",""
26,"Crimson Rebellion, Firmament, Last Bastion, Federation of Sol, Empyrean, Barony of Letnev","Crimson Rebellion"," Firmament"," Last Bastion"," Federation of Sol"," Empyrean"," Barony of Letnev","",""
41,"Vuil'raith Cabal, Argent Flight, Last Bastion, Ral Nel Consortium, Nekro Virus, Barony of Letnev","Vuil'raith Cabal"," Argent Flight"," Last Bastion"," Ral Nel Consortium"," Nekro Virus"," Barony of Letnev","",""
43,"Deepwrought Scholarate, Universities of Jol-Nar, Naalu Collective, Arborec, Vuil'raith Cabal, Barony of Letnev","Deepwrought Scholarate"," Universities of Jol-Nar"," Naalu Collective"," Arborec"," Vuil'raith Cabal"," Barony of Letnev","",""
110,"Naaz-Rokha Alliance, Yin Brotherhood, Ral Nel Consortium, Winnu, Yssaril Tribes, Barony of Letnev","Naaz-Rokha Alliance"," Yin Brotherhood"," Ral Nel Consortium"," Winnu"," Yssaril Tribes"," Barony of Letnev","",""
159,"Yssaril Tribes, Empyrean, Mahact Gene-Sorcerers, Argent Flight, Embers of Muaat, Barony of Letnev","Yssaril Tribes"," Empyrean"," Mahact Gene-Sorcerers"," Argent Flight"," Embers of Muaat"," Barony of Letnev","",""
278,"Empyrean, Naaz-Rokha Alliance, Titans of Ul, Universities of Jol-Nar, Federation of Sol, Barony of Letnev","Empyrean"," Naaz-Rokha Alliance"," Titans of Ul"," Universities of Jol-Nar"," Federation of Sol"," Barony of Letnev","",""
296,"Yin Brotherhood, Federation of Sol, Naalu Collective, Sardakk N'orr, Mahact Gene-Sorcerers, Barony of Letnev","Yin Brotherhood"," Federation of Sol"," Naalu Collective"," Sardakk N'orr"," Mahact Gene-Sorcerers"," Barony of Letnev","",""
382,"Argent Flight, Arborec, Deepwrought Scholarate, Nomad, Emirates of Hacan, Barony of Letnev","Argent Flight"," Arborec"," Deepwrought Scholarate"," Nomad"," Emirates of Hacan"," Barony of Letnev","",""
390,"Arborec, Mahact Gene-Sorcerers, Naalu Collective, Ral Nel Consortium, Xxcha Kingdom, Barony of Letnev","Arborec"," Mahact Gene-Sorcerers"," Naalu Collective"," Ral Nel Consortium"," Xxcha Kingdom"," Barony of Letnev","",""
391,"Arborec, Firmament, Federation of Sol, Vuil'raith Cabal, Emirates of Hacan, Barony of Letnev","Arborec"," Firmament"," Federation of Sol"," Vuil'raith Cabal"," Emirates of Hacan"," Barony of Letnev","",""
414,"Firmament, Last Bastion, Argent Flight, Nomad, Ghosts of Creuss, Barony of Letnev","Firmament"," Last Bastion"," Argent Flight"," Nomad"," Ghosts of Creuss"," Barony of Letnev","",""
488,"Yin Brotherhood, Universities of Jol-Nar, Nomad, Titans of Ul, Crimson Rebellion, Barony of Letnev","Yin Brotherhood"," Universities of Jol-Nar"," Nomad"," Titans of Ul"," Crimson Rebellion"," Barony of Letnev","",""
544,"Mentak Coalition, Clan of Saar, Titans of Ul, Vuil'raith Cabal, Universities of Jol-Nar, Barony of Letnev","Mentak Coalition"," Clan of Saar"," Titans of Ul"," Vuil'raith Cabal"," Universities of Jol-Nar"," Barony of Letnev","",""
633,"Naaz-Rokha Alliance, Nekro Virus, Ral Nel Consortium, Embers of Muaat, Mahact Gene-Sorcerers, Barony of Letnev","Naaz-Rokha Alliance"," Nekro Virus"," Ral Nel Consortium"," Embers of Muaat"," Mahact Gene-Sorcerers"," Barony of Letnev","",""
739,"Mentak Coalition, Ghosts of Creuss, Titans of Ul, Naaz-Rokha Alliance, Yssaril Tribes, Barony of Letnev","Mentak Coalition"," Ghosts of Creuss"," Titans of Ul"," Naaz-Rokha Alliance"," Yssaril Tribes"," Barony of Letnev","",""
779,"Vuil'raith Cabal, Argent Flight, Naaz-Rokha Alliance, Ral Nel Consortium, Sardakk N'orr, Barony of Letnev","Vuil'raith Cabal"," Argent Flight"," Naaz-Rokha Alliance"," Ral Nel Consortium"," Sardakk N'orr"," Barony of Letnev","",""
804,"Keleres ~ Argent, Empyrean, Mentak Coalition, Naaz-Rokha Alliance, Titans of Ul, Barony of Letnev","Keleres ~ Argent"," Empyrean"," Mentak Coalition"," Naaz-Rokha Alliance"," Titans of Ul"," Barony of Letnev","",""
819,"Nomad, Naalu Collective, Clan of Saar, Mahact Gene-Sorcerers, Federation of Sol, Barony of Letnev","Nomad"," Naalu Collective"," Clan of Saar"," Mahact Gene-Sorcerers"," Federation of Sol"," Barony of Letnev","",""
829,"Mentak Coalition, Vuil'raith Cabal, Winnu, L1Z1X Mindnet, Titans of Ul, Barony of Letnev","Mentak Coalition"," Vuil'raith Cabal"," Winnu"," L1Z1X Mindnet"," Titans of Ul"," Barony of Letnev","",""
933,"Mentak Coalition, Firmament, Clan of Saar, Arborec, Crimson Rebellion, Barony of Letnev","Mentak Coalition"," Firmament"," Clan of Saar"," Arborec"," Crimson Rebellion"," Barony of Letnev","",""
987,"Naalu Collective, Federation of Sol, Argent Flight, Emirates of Hacan, Crimson Rebellion, Barony of Letnev","Naalu Collective"," Federation of Sol"," Argent Flight"," Emirates of Hacan"," Crimson Rebellion"," Barony of Letnev","",""
1052,"Naalu Collective, Deepwrought Scholarate, Mahact Gene-Sorcerers, Ral Nel Consortium, Embers of Muaat, Barony of Letnev","Naalu Collective"," Deepwrought Scholarate"," Mahact Gene-Sorcerers"," Ral Nel Consortium"," Embers of Muaat"," Barony of Letnev","",""
1086,"Nekro Virus, Last Bastion, Universities of Jol-Nar, Crimson Rebellion, L1Z1X Mindnet, Barony of Letnev","Nekro Virus"," Last Bastion"," Universities of Jol-Nar"," Crimson Rebellion"," L1Z1X Mindnet"," Barony of Letnev","",""
1144,"Sardakk N'orr, Xxcha Kingdom, Ghosts of Creuss, Vuil'raith Cabal, Titans of Ul, Barony of Letnev","Sardakk N'orr"," Xxcha Kingdom"," Ghosts of Creuss"," Vuil'raith Cabal"," Titans of Ul"," Barony of Letnev","",""
1153,"Naalu Collective, Keleres ~ Mentak, Firmament, Xxcha Kingdom, Sardakk N'orr, Barony of Letnev","Naalu Collective"," Keleres ~ Mentak"," Firmament"," Xxcha Kingdom"," Sardakk N'orr"," Barony of Letnev","",""
1331,"Argent Flight, Federation of Sol, Vuil'raith Cabal, Mentak Coalition, Keleres ~ Xxcha, Barony of Letnev","Argent Flight"," Federation of Sol"," Vuil'raith Cabal"," Mentak Coalition"," Keleres ~ Xxcha"," Barony of Letnev","",""
1358,"Mahact Gene-Sorcerers, Naalu Collective, Empyrean, Winnu, Vuil'raith Cabal, Barony of Letnev","Mahact Gene-Sorcerers"," Naalu Collective"," Empyrean"," Winnu"," Vuil'raith Cabal"," Barony of Letnev","",""
1395,"Universities of Jol-Nar, Deepwrought Scholarate, Winnu, Ghosts of Creuss, Nomad, Barony of Letnev","Universities of Jol-Nar"," Deepwrought Scholarate"," Winnu"," Ghosts of Creuss"," Nomad"," Barony of Letnev","",""
1413,"Firmament, Last Bastion, Clan of Saar, Keleres ~ Xxcha, L1Z1X Mindnet, Barony of Letnev","Firmament"," Last Bastion"," Clan of Saar"," Keleres ~ Xxcha"," L1Z1X Mindnet"," Barony of Letnev","",""
1427,"Mahact Gene-Sorcerers, Emirates of Hacan, Deepwrought Scholarate, Yssaril Tribes, Naalu Collective, Barony of Letnev","Mahact Gene-Sorcerers"," Emirates of Hacan"," Deepwrought Scholarate"," Yssaril Tribes"," Naalu Collective"," Barony of Letnev","",""
1465,"Winnu, Deepwrought Scholarate, Federation of Sol, Mentak Coalition, Empyrean, Barony of Letnev","Winnu"," Deepwrought Scholarate"," Federation of Sol"," Mentak Coalition"," Empyrean"," Barony of Letnev","",""
1475,"L1Z1X Mindnet, Ghosts of Creuss, Nomad, Argent Flight, Xxcha Kingdom, Barony of Letnev","L1Z1X Mindnet"," Ghosts of Creuss"," Nomad"," Argent Flight"," Xxcha Kingdom"," Barony of Letnev","",""
1511,"Yssaril Tribes, Naaz-Rokha Alliance, Arborec, Last Bastion, Empyrean, Barony of Letnev","Yssaril Tribes"," Naaz-Rokha Alliance"," Arborec"," Last Bastion"," Empyrean"," Barony of Letnev","",""
1562,"Naalu Collective, Last Bastion, Clan of Saar, Embers of Muaat, Crimson Rebellion, Barony of Letnev","Naalu Collective"," Last Bastion"," Clan of Saar"," Embers of Muaat"," Crimson Rebellion"," Barony of Letnev","",""
1585,"Ral Nel Consortium, Naaz-Rokha Alliance, Mentak Coalition, Yin Brotherhood, Nomad, Barony of Letnev","Ral Nel Consortium"," Naaz-Rokha Alliance"," Mentak Coalition"," Yin Brotherhood"," Nomad"," Barony of Letnev","",""
1659,"Naalu Collective, Naaz-Rokha Alliance, Deepwrought Scholarate, Last Bastion, Sardakk N'orr, Barony of Letnev","Naalu Collective"," Naaz-Rokha Alliance"," Deepwrought Scholarate"," Last Bastion"," Sardakk N'orr"," Barony of Letnev","",""
1838,"Crimson Rebellion, Emirates of Hacan, Deepwrought Scholarate, L1Z1X Mindnet, Yin Brotherhood, Barony of Letnev","Crimson Rebellion"," Emirates of Hacan"," Deepwrought Scholarate"," L1Z1X Mindnet"," Yin Brotherhood"," Barony of Letnev","",""
1876,"Argent Flight, Yssaril Tribes, Federation of Sol, Embers of Muaat, Empyrean, Barony of Letnev","Argent Flight"," Yssaril Tribes"," Federation of Sol"," Embers of Muaat"," Empyrean"," Barony of Letnev","",""
1898,"Nomad, Last Bastion, Argent Flight, Ral Nel Consortium, Sardakk N'orr, Barony of Letnev","Nomad"," Last Bastion"," Argent Flight"," Ral Nel Consortium"," Sardakk N'orr"," Barony of Letnev","",""
1958,"Mahact Gene-Sorcerers, Federation of Sol, Vuil'raith Cabal, Emirates of Hacan, Crimson Rebellion, Barony of Letnev","Mahact Gene-Sorcerers"," Federation of Sol"," Vuil'raith Cabal"," Emirates of Hacan"," Crimson Rebellion"," Barony of Letnev","",""
1973,"Clan of Saar, Keleres ~ Mentak, Ral Nel Consortium, Crimson Rebellion, Arborec, Barony of Letnev","Clan of Saar"," Keleres ~ Mentak"," Ral Nel Consortium"," Crimson Rebellion"," Arborec"," Barony of Letnev","",""
2100,"Universities of Jol-Nar, Clan of Saar, Titans of Ul, Winnu, Ral Nel Consortium, Barony of Letnev","Universities of Jol-Nar"," Clan of Saar"," Titans of Ul"," Winnu"," Ral Nel Consortium"," Barony of Letnev","",""
2226,"Vuil'raith Cabal, Xxcha Kingdom, Yin Brotherhood, Ral Nel Consortium, Mahact Gene-Sorcerers, Barony of Letnev","Vuil'raith Cabal"," Xxcha Kingdom"," Yin Brotherhood"," Ral Nel Consortium"," Mahact Gene-Sorcerers"," Barony of Letnev","",""
2276,"Naaz-Rokha Alliance, Vuil'raith Cabal, Ral Nel Consortium, Universities of Jol-Nar, Mentak Coalition, Barony of Letnev","Naaz-Rokha Alliance"," Vuil'raith Cabal"," Ral Nel Consortium"," Universities of Jol-Nar"," Mentak Coalition"," Barony of Letnev","",""
2286,"Empyrean, Sardakk N'orr, Winnu, L1Z1X Mindnet, Mahact Gene-Sorcerers, Barony of Letnev","Empyrean"," Sardakk N'orr"," Winnu"," L1Z1X Mindnet"," Mahact Gene-Sorcerers"," Barony of Letnev","",""
2302,"L1Z1X Mindnet, Nomad, Universities of Jol-Nar, Sardakk N'orr, Xxcha Kingdom, Barony of Letnev","L1Z1X Mindnet"," Nomad"," Universities of Jol-Nar"," Sardakk N'orr"," Xxcha Kingdom"," Barony of Letnev","",""
2306,"Emirates of Hacan, Deepwrought Scholarate, Clan of Saar, Yin Brotherhood, Universities of Jol-Nar, Barony of Letnev","Emirates of Hacan"," Deepwrought Scholarate"," Clan of Saar"," Yin Brotherhood"," Universities of Jol-Nar"," Barony of Letnev","",""
2310,"Ral Nel Consortium, Clan of Saar, Empyrean, Mahact Gene-Sorcerers, L1Z1X Mindnet, Barony of Letnev","Ral Nel Consortium"," Clan of Saar"," Empyrean"," Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Barony of Letnev","",""
2329,"L1Z1X Mindnet, Titans of Ul, Firmament, Crimson Rebellion, Arborec, Barony of Letnev","L1Z1X Mindnet"," Titans of Ul"," Firmament"," Crimson Rebellion"," Arborec"," Barony of Letnev","",""
2421,"Sardakk N'orr, Empyrean, Emirates of Hacan, Ghosts of Creuss, Titans of Ul, Barony of Letnev","Sardakk N'orr"," Empyrean"," Emirates of Hacan"," Ghosts of Creuss"," Titans of Ul"," Barony of Letnev","",""
2426,"Firmament, Universities of Jol-Nar, Embers of Muaat, Nomad, Naalu Collective, Barony of Letnev","Firmament"," Universities of Jol-Nar"," Embers of Muaat"," Nomad"," Naalu Collective"," Barony of Letnev","",""
2451,"Vuil'raith Cabal, Universities of Jol-Nar, Arborec, Federation of Sol, Nekro Virus, Barony of Letnev","Vuil'raith Cabal"," Universities of Jol-Nar"," Arborec"," Federation of Sol"," Nekro Virus"," Barony of Letnev","",""
2673,"Titans of Ul, Last Bastion, Ghosts of Creuss, Argent Flight, Universities of Jol-Nar, Barony of Letnev","Titans of Ul"," Last Bastion"," Ghosts of Creuss"," Argent Flight"," Universities of Jol-Nar"," Barony of Letnev","",""
2792,"Sardakk N'orr, Ral Nel Consortium, Arborec, Keleres ~ Mentak, Nekro Virus, Barony of Letnev","Sardakk N'orr"," Ral Nel Consortium"," Arborec"," Keleres ~ Mentak"," Nekro Virus"," Barony of Letnev","",""
2827,"Naalu Collective, Keleres ~ Xxcha, Universities of Jol-Nar, Ghosts of Creuss, Federation of Sol, Barony of Letnev","Naalu Collective"," Keleres ~ Xxcha"," Universities of Jol-Nar"," Ghosts of Creuss"," Federation of Sol"," Barony of Letnev","",""
2856,"Sardakk N'orr, Clan of Saar, Yssaril Tribes, Nekro Virus, L1Z1X Mindnet, Barony of Letnev","Sardakk N'orr"," Clan of Saar"," Yssaril Tribes"," Nekro Virus"," L1Z1X Mindnet"," Barony of Letnev","",""
2866,"Nekro Virus, Keleres ~ Mentak, Naalu Collective, Naaz-Rokha Alliance, Universities of Jol-Nar, Barony of Letnev","Nekro Virus"," Keleres ~ Mentak"," Naalu Collective"," Naaz-Rokha Alliance"," Universities of Jol-Nar"," Barony of Letnev","",""
2945,"Federation of Sol, Naalu Collective, Vuil'raith Cabal, Clan of Saar, L1Z1X Mindnet, Barony of Letnev","Federation of Sol"," Naalu Collective"," Vuil'raith Cabal"," Clan of Saar"," L1Z1X Mindnet"," Barony of Letnev","",""
2990,"Emirates of Hacan, Arborec, Firmament, Last Bastion, Federation of Sol, Barony of Letnev","Emirates of Hacan"," Arborec"," Firmament"," Last Bastion"," Federation of Sol"," Barony of Letnev","",""
2991,"Empyrean, Mentak Coalition, Clan of Saar, Winnu, Yin Brotherhood, Barony of Letnev","Empyrean"," Mentak Coalition"," Clan of Saar"," Winnu"," Yin Brotherhood"," Barony of Letnev","",""
3056,"Empyrean, Mentak Coalition, L1Z1X Mindnet, Universities of Jol-Nar, Clan of Saar, Barony of Letnev","Empyrean"," Mentak Coalition"," L1Z1X Mindnet"," Universities of Jol-Nar"," Clan of Saar"," Barony of Letnev","",""
3076,"Ral Nel Consortium, Arborec, Deepwrought Scholarate, Keleres ~ Mentak, Yin Brotherhood, Barony of Letnev","Ral Nel Consortium"," Arborec"," Deepwrought Scholarate"," Keleres ~ Mentak"," Yin Brotherhood"," Barony of Letnev","",""
3088,"Arborec, Federation of Sol, Firmament, Empyrean, Mentak Coalition, Barony of Letnev","Arborec"," Federation of Sol"," Firmament"," Empyrean"," Mentak Coalition"," Barony of Letnev","",""
3149,"Argent Flight, Winnu, Yin Brotherhood, Emirates of Hacan, Universities of Jol-Nar, Barony of Letnev","Argent Flight"," Winnu"," Yin Brotherhood"," Emirates of Hacan"," Universities of Jol-Nar"," Barony of Letnev","",""
3162,"Keleres ~ Mentak, Yin Brotherhood, Yssaril Tribes, Nekro Virus, Nomad, Barony of Letnev","Keleres ~ Mentak"," Yin Brotherhood"," Yssaril Tribes"," Nekro Virus"," Nomad"," Barony of Letnev","",""
3329,"Federation of Sol, Arborec, Firmament, Crimson Rebellion, Titans of Ul, Barony of Letnev","Federation of Sol"," Arborec"," Firmament"," Crimson Rebellion"," Titans of Ul"," Barony of Letnev","",""
3440,"Federation of Sol, Ghosts of Creuss, Xxcha Kingdom, Titans of Ul, Empyrean, Barony of Letnev","Federation of Sol"," Ghosts of Creuss"," Xxcha Kingdom"," Titans of Ul"," Empyrean"," Barony of Letnev","",""
3659,"Ghosts of Creuss, Deepwrought Scholarate, Ral Nel Consortium, Titans of Ul, Last Bastion, Barony of Letnev","Ghosts of Creuss"," Deepwrought Scholarate"," Ral Nel Consortium"," Titans of Ul"," Last Bastion"," Barony of Letnev","",""
3674,"Ghosts of Creuss, Ral Nel Consortium, Deepwrought Scholarate, Embers of Muaat, Arborec, Barony of Letnev","Ghosts of Creuss"," Ral Nel Consortium"," Deepwrought Scholarate"," Embers of Muaat"," Arborec"," Barony of Letnev","",""
3794,"Ral Nel Consortium, Federation of Sol, Mahact Gene-Sorcerers, Crimson Rebellion, Nekro Virus, Barony of Letnev","Ral Nel Consortium"," Federation of Sol"," Mahact Gene-Sorcerers"," Crimson Rebellion"," Nekro Virus"," Barony of Letnev","",""
